time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,3.23,1.39,0.0
20140101:0110,0.0,0.0,0.0,3.23,1.3,0.0
20140101:0210,0.0,0.0,0.0,3.23,1.2,0.0
20140101:0310,0.0,0.0,0.0,3.22,1.1,0.0
20140101:0410,0.0,0.0,0.0,3.02,0.96,0.0
20140101:0510,0.0,0.0,0.0,2.82,0.82,0.0
20140101:0610,0.0,0.0,0.0,2.62,0.68,0.0
20140101:0710,2112000.0,28.38,10.6,2.9,0.73,0.0
20140101:0810,1798500.0,25.54,18.15,3.18,0.78,0.0
20140101:0910,15660000.0,134.65,23.61,3.46,0.83,0.0
20140101:1010,21523500.0,178.31,26.43,3.55,0.79,0.0
20140101:1110,15085500.0,130.55,26.24,3.64,0.75,0.0
20140101:1210,13318500.0,117.3,23.07,3.73,0.72,0.0
20140101:1310,6534000.0,65.27,17.31,3.91,0.63,0.0
20140101:1410,13801500.0,121.43,9.54,4.09,0.54,0.0
20140101:1510,0.0,0.0,0.0,4.26,0.46,0.0
20140101:1610,0.0,0.0,0.0,3.71,0.61,0.0
20140101:1710,0.0,0.0,0.0,3.16,0.77,0.0
20140101:1810,0.0,0.0,0.0,2.62,0.92,0.0
20140101:1910,0.0,0.0,0.0,2.06,0.95,0.0
20140101:2010,0.0,0.0,0.0,1.5,0.98,0.0
20140101:2110,0.0,0.0,0.0,0.94,1.01,0.0
20140101:2210,0.0,0.0,0.0,0.8,0.86,0.0
20140101:2310,0.0,0.0,0.0,0.65,0.7,0.0
20140102:0010,0.0,0.0,0.0,0.5,0.55,0.0
20140102:0110,0.0,0.0,0.0,0.61,0.68,0.0
20140102:0210,0.0,0.0,0.0,0.72,0.81,0.0
20140102:0310,0.0,0.0,0.0,0.83,0.94,0.0
20140102:0410,0.0,0.0,0.0,0.69,0.9,0.0
20140102:0510,0.0,0.0,0.0,0.54,0.86,0.0
20140102:0610,0.0,0.0,0.0,0.4,0.81,0.0
20140102:0710,7704000.0,73.85,10.61,1.87,0.65,0.0
20140102:0810,12748500.0,112.75,18.18,3.34,0.48,0.0
20140102:0910,14407500.0,126.12,23.66,4.81,0.32,0.0
20140102:1010,8992500.0,85.14,26.51,5.9,0.45,0.0
20140102:1110,12738000.0,114.46,26.34,6.99,0.57,0.0
20140102:1210,12552000.0,113.52,23.18,8.08,0.7,0.0
20140102:1310,11140500.0,102.39,17.44,7.9,0.79,0.0
20140102:1410,5941500.0,61.48,9.67,7.72,0.88,0.0
20140102:1510,0.0,0.0,0.0,7.53,0.97,0.0
20140102:1610,0.0,0.0,0.0,7.09,1.03,0.0
20140102:1710,0.0,0.0,0.0,6.65,1.09,0.0
20140102:1810,0.0,0.0,0.0,6.21,1.14,0.0
20140102:1910,0.0,0.0,0.0,5.69,1.01,0.0
20140102:2010,0.0,0.0,0.0,5.17,0.87,0.0
20140102:2110,0.0,0.0,0.0,4.65,0.73,0.0
20140102:2210,0.0,0.0,0.0,4.27,0.76,0.0
20140102:2310,0.0,0.0,0.0,3.89,0.8,0.0
20140103:0010,0.0,0.0,0.0,3.51,0.83,0.0
20140103:0110,0.0,0.0,0.0,2.62,0.99,0.0
20140103:0210,0.0,0.0,0.0,1.73,1.15,0.0
20140103:0310,0.0,0.0,0.0,0.83,1.31,0.0
20140103:0410,0.0,0.0,0.0,0.12,1.27,0.0
20140103:0510,0.0,0.0,0.0,-0.58,1.24,0.0
20140103:0610,0.0,0.0,0.0,-1.29,1.2,0.0
20140103:0710,48163500.0,377.6,10.62,1.26,0.88,0.0
20140103:0810,77013000.0,607.74,18.21,3.81,0.57,0.0
20140103:0910,94924500.0,775.67,23.72,6.36,0.25,0.0
20140103:1010,100920000.0,834.83,26.59,7.48,0.34,0.0
20140103:1110,101538000.0,843.79,26.44,8.61,0.43,0.0
20140103:1210,90414000.0,743.95,23.3,9.73,0.52,0.0
20140103:1310,72667500.0,585.83,17.57,9.11,0.74,0.0
20140103:1410,40296000.0,328.89,9.81,8.48,0.96,0.0
20140103:1510,0.0,0.0,0.0,7.85,1.17,0.0
20140103:1610,0.0,0.0,0.0,7.38,1.12,0.0
20140103:1710,0.0,0.0,0.0,6.9,1.06,0.0
20140103:1810,0.0,0.0,0.0,6.43,1.01,0.0
20140103:1910,0.0,0.0,0.0,5.56,1.05,0.0
20140103:2010,0.0,0.0,0.0,4.69,1.09,0.0
20140103:2110,0.0,0.0,0.0,3.82,1.13,0.0
20140103:2210,0.0,0.0,0.0,2.98,1.19,0.0
20140103:2310,0.0,0.0,0.0,2.14,1.25,0.0
20140104:0010,0.0,0.0,0.0,1.29,1.31,0.0
20140104:0110,0.0,0.0,0.0,0.25,1.31,0.0
20140104:0210,0.0,0.0,0.0,-0.79,1.32,0.0
20140104:0310,0.0,0.0,0.0,-1.84,1.32,0.0
20140104:0410,0.0,0.0,0.0,-2.02,1.38,0.0
20140104:0510,0.0,0.0,0.0,-2.21,1.43,0.0
20140104:0610,0.0,0.0,0.0,-2.39,1.49,0.0
20140104:0710,48324000.0,376.48,10.64,0.25,1.12,0.0
20140104:0810,77463000.0,606.93,18.25,2.89,0.75,0.0
20140104:0910,94261500.0,763.94,23.79,5.53,0.39,0.0
20140104:1010,102366000.0,842.61,26.68,6.77,0.46,0.0
20140104:1110,101455500.0,838.35,26.56,8.01,0.52,0.0
20140104:1210,90934500.0,745.69,23.43,9.25,0.59,0.0
20140104:1310,72019500.0,579.37,17.7,9.0,0.83,0.0
20140104:1410,42222000.0,344.21,9.95,8.75,1.06,0.0
20140104:1510,0.0,0.0,0.0,8.5,1.3,0.0
20140104:1610,0.0,0.0,0.0,7.42,1.13,0.0
20140104:1710,0.0,0.0,0.0,6.33,0.97,0.0
20140104:1810,0.0,0.0,0.0,5.25,0.8,0.0
20140104:1910,0.0,0.0,0.0,4.64,0.94,0.0
20140104:2010,0.0,0.0,0.0,4.03,1.09,0.0
20140104:2110,0.0,0.0,0.0,3.42,1.23,0.0
20140104:2210,0.0,0.0,0.0,2.89,1.2,0.0
20140104:2310,0.0,0.0,0.0,2.36,1.18,0.0
20140105:0010,0.0,0.0,0.0,1.83,1.16,0.0
20140105:0110,0.0,0.0,0.0,1.23,1.23,0.0
20140105:0210,0.0,0.0,0.0,0.63,1.31,0.0
20140105:0310,0.0,0.0,0.0,0.02,1.38,0.0
20140105:0410,0.0,0.0,0.0,-0.08,1.2,0.0
20140105:0510,0.0,0.0,0.0,-0.18,1.03,0.0
20140105:0610,0.0,0.0,0.0,-0.28,0.86,0.0
20140105:0710,37254000.0,295.2,10.66,1.68,0.63,0.0
20140105:0810,52576500.0,411.69,18.3,3.64,0.41,0.0
20140105:0910,61956000.0,491.42,23.86,5.61,0.19,0.0
20140105:1010,35862000.0,288.01,26.78,6.21,0.59,0.0
20140105:1110,8235000.0,79.46,26.68,6.82,0.98,0.0
20140105:1210,45877500.0,363.7,23.57,7.42,1.38,0.0
20140105:1310,29914500.0,242.08,17.85,6.83,1.37,0.0
20140105:1410,7089000.0,70.24,10.1,6.23,1.36,0.0
20140105:1510,0.0,0.0,0.0,5.63,1.35,0.0
20140105:1610,0.0,0.0,0.0,5.58,1.26,0.0
20140105:1710,0.0,0.0,0.0,5.53,1.16,0.0
20140105:1810,0.0,0.0,0.0,5.49,1.06,0.0
20140105:1910,0.0,0.0,0.0,5.58,0.81,0.0
20140105:2010,0.0,0.0,0.0,5.67,0.57,0.0
20140105:2110,0.0,0.0,0.0,5.76,0.32,0.0
20140105:2210,0.0,0.0,0.0,5.9,0.26,0.0
20140105:2310,0.0,0.0,0.0,6.04,0.2,0.0
20140106:0010,0.0,0.0,0.0,6.18,0.14,0.0
20140106:0110,0.0,0.0,0.0,6.16,0.37,0.0
20140106:0210,0.0,0.0,0.0,6.14,0.6,0.0
20140106:0310,0.0,0.0,0.0,6.12,0.83,0.0
20140106:0410,0.0,0.0,0.0,6.04,0.84,0.0
20140106:0510,0.0,0.0,0.0,5.97,0.86,0.0
20140106:0610,0.0,0.0,0.0,5.89,0.87,0.0
20140106:0710,562500.0,13.24,10.7,6.02,0.9,0.0
20140106:0810,3471000.0,40.68,18.35,6.15,0.93,0.0
20140106:0910,9594000.0,89.87,23.94,6.29,0.97,0.0
20140106:1010,16797000.0,144.94,26.88,6.59,1.1,0.0
20140106:1110,18444000.0,157.49,26.8,6.89,1.23,0.0
20140106:1210,7506000.0,73.79,23.71,7.18,1.37,0.0
20140106:1310,3127500.0,37.84,18.0,6.93,1.18,0.0
20140106:1410,480000.0,12.3,10.25,6.68,0.99,0.0
20140106:1510,0.0,0.0,0.0,6.42,0.8,0.0
20140106:1610,0.0,0.0,0.0,5.93,0.93,0.0
20140106:1710,0.0,0.0,0.0,5.44,1.06,0.0
20140106:1810,0.0,0.0,0.0,4.95,1.19,0.0
20140106:1910,0.0,0.0,0.0,4.56,1.16,0.0
20140106:2010,0.0,0.0,0.0,4.17,1.13,0.0
20140106:2110,0.0,0.0,0.0,3.78,1.1,0.0
20140106:2210,0.0,0.0,0.0,3.59,1.21,0.0
20140106:2310,0.0,0.0,0.0,3.39,1.31,0.0
20140107:0010,0.0,0.0,0.0,3.19,1.42,0.0
20140107:0110,0.0,0.0,0.0,3.19,1.35,0.0
20140107:0210,0.0,0.0,0.0,3.19,1.28,0.0
20140107:0310,0.0,0.0,0.0,3.19,1.21,0.0
20140107:0410,0.0,0.0,0.0,2.82,1.27,0.0
20140107:0510,0.0,0.0,0.0,2.45,1.32,0.0
20140107:0610,0.0,0.0,0.0,2.08,1.38,0.0
20140107:0710,7617000.0,73.66,10.73,3.63,1.02,0.0
20140107:0810,74125500.0,587.02,18.41,5.18,0.66,0.0
20140107:0910,89718000.0,729.62,24.03,6.73,0.3,0.0
20140107:1010,91494000.0,750.53,27.0,7.76,0.29,0.0
20140107:1110,59934000.0,482.39,26.94,8.8,0.29,0.0
20140107:1210,71970000.0,585.41,23.86,9.83,0.28,0.0
20140107:1310,62110500.0,500.73,18.15,9.54,0.47,0.0
20140107:1410,35482500.0,291.91,10.41,9.25,0.67,0.0
20140107:1510,0.0,0.0,0.0,8.96,0.87,0.0
20140107:1610,0.0,0.0,0.0,7.68,1.02,0.0
20140107:1710,0.0,0.0,0.0,6.4,1.16,0.0
20140107:1810,0.0,0.0,0.0,5.12,1.31,0.0
20140107:1910,0.0,0.0,0.0,4.06,1.4,0.0
20140107:2010,0.0,0.0,0.0,3.01,1.49,0.0
20140107:2110,0.0,0.0,0.0,1.95,1.59,0.0
20140107:2210,0.0,0.0,0.0,1.53,1.56,0.0
20140107:2310,0.0,0.0,0.0,1.1,1.53,0.0
20140108:0010,0.0,0.0,0.0,0.67,1.5,0.0
20140108:0110,0.0,0.0,0.0,0.55,1.51,0.0
20140108:0210,0.0,0.0,0.0,0.43,1.51,0.0
20140108:0310,0.0,0.0,0.0,0.31,1.52,0.0
20140108:0410,0.0,0.0,0.0,0.26,1.55,0.0
20140108:0510,0.0,0.0,0.0,0.21,1.58,0.0
20140108:0610,0.0,0.0,0.0,0.16,1.61,0.0
20140108:0710,37413000.0,296.11,10.78,2.15,1.2,0.0
20140108:0810,52837500.0,413.2,18.48,4.14,0.79,0.0
20140108:0910,55401000.0,439.06,24.12,6.14,0.37,0.0
20140108:1010,43002000.0,344.75,27.12,7.68,0.56,0.0
20140108:1110,60265500.0,483.51,27.08,9.23,0.74,0.0
20140108:1210,86343000.0,706.43,24.01,10.77,0.92,0.0
20140108:1310,46725000.0,376.39,18.31,10.16,0.81,0.0
20140108:1410,28609500.0,238.31,10.57,9.54,0.69,0.0
20140108:1510,0.0,0.0,0.0,8.92,0.58,0.0
20140108:1610,0.0,0.0,0.0,7.37,0.87,0.0
20140108:1710,0.0,0.0,0.0,5.82,1.16,0.0
20140108:1810,0.0,0.0,0.0,4.28,1.45,0.0
20140108:1910,0.0,0.0,0.0,3.29,1.48,0.0
20140108:2010,0.0,0.0,0.0,2.31,1.5,0.0
20140108:2110,0.0,0.0,0.0,1.32,1.53,0.0
20140108:2210,0.0,0.0,0.0,0.85,1.55,0.0
20140108:2310,0.0,0.0,0.0,0.38,1.57,0.0
20140109:0010,0.0,0.0,0.0,-0.1,1.59,0.0
20140109:0110,0.0,0.0,0.0,-0.56,1.54,0.0
20140109:0210,0.0,0.0,0.0,-1.02,1.49,0.0
20140109:0310,0.0,0.0,0.0,-1.49,1.45,0.0
20140109:0410,0.0,0.0,0.0,-1.82,1.45,0.0
20140109:0510,0.0,0.0,0.0,-2.15,1.45,0.0
20140109:0610,0.0,0.0,0.0,-2.48,1.45,0.0
20140109:0710,47685000.0,372.86,10.83,0.72,1.01,0.0
20140109:0810,77256000.0,610.06,18.55,3.92,0.57,0.0
20140109:0910,94891500.0,780.75,24.22,7.13,0.14,0.0
20140109:1010,102516000.0,855.99,27.24,8.64,0.31,0.0
20140109:1110,102169500.0,856.16,27.23,10.15,0.48,0.0
20140109:1210,90846000.0,753.82,24.17,11.66,0.65,0.0
20140109:1310,73393500.0,598.46,18.48,11.45,0.77,0.0
20140109:1410,43932000.0,361.57,10.74,11.24,0.9,0.0
20140109:1510,0.0,0.0,0.0,11.03,1.02,0.0
20140109:1610,0.0,0.0,0.0,9.91,1.08,0.0
20140109:1710,0.0,0.0,0.0,8.79,1.14,0.0
20140109:1810,0.0,0.0,0.0,7.67,1.2,0.0
20140109:1910,0.0,0.0,0.0,6.71,1.22,0.0
20140109:2010,0.0,0.0,0.0,5.75,1.24,0.0
20140109:2110,0.0,0.0,0.0,4.78,1.26,0.0
20140109:2210,0.0,0.0,0.0,4.46,1.37,0.0
20140109:2310,0.0,0.0,0.0,4.13,1.49,0.0
20140110:0010,0.0,0.0,0.0,3.8,1.6,0.0
20140110:0110,0.0,0.0,0.0,2.97,1.55,0.0
20140110:0210,0.0,0.0,0.0,2.14,1.5,0.0
20140110:0310,0.0,0.0,0.0,1.31,1.45,0.0
20140110:0410,0.0,0.0,0.0,1.22,1.47,0.0
20140110:0510,0.0,0.0,0.0,1.14,1.49,0.0
20140110:0610,0.0,0.0,0.0,1.05,1.5,0.0
20140110:0710,40545000.0,320.48,10.89,2.71,1.34,0.0
20140110:0810,60768000.0,473.98,18.64,4.37,1.18,0.0
20140110:0910,79807500.0,633.26,24.33,6.03,1.02,0.0
20140110:1010,85420500.0,683.92,27.38,7.08,1.12,0.0
20140110:1110,81739500.0,655.2,27.38,8.13,1.21,0.0
20140110:1210,79687500.0,639.78,24.34,9.18,1.31,0.0
20140110:1310,50074500.0,397.15,18.65,8.04,1.37,0.0
20140110:1410,14796000.0,129.91,10.91,6.9,1.44,0.0
20140110:1510,0.0,0.0,0.0,5.76,1.5,0.0
20140110:1610,0.0,0.0,0.0,5.01,1.55,0.0
20140110:1710,0.0,0.0,0.0,4.25,1.6,0.0
20140110:1810,0.0,0.0,0.0,3.5,1.64,0.0
20140110:1910,0.0,0.0,0.0,3.56,1.74,0.0
20140110:2010,0.0,0.0,0.0,3.62,1.83,0.0
20140110:2110,0.0,0.0,0.0,3.67,1.93,0.0
20140110:2210,0.0,0.0,0.0,2.91,1.89,0.0
20140110:2310,0.0,0.0,0.0,2.15,1.84,0.0
20140111:0010,0.0,0.0,0.0,1.38,1.79,0.0
20140111:0110,0.0,0.0,0.0,1.17,1.71,0.0
20140111:0210,0.0,0.0,0.0,0.95,1.63,0.0
20140111:0310,0.0,0.0,0.0,0.73,1.54,0.0
20140111:0410,0.0,0.0,0.0,0.45,1.56,0.0
20140111:0510,0.0,0.0,0.0,0.18,1.57,0.0
20140111:0610,0.0,0.0,0.0,-0.1,1.59,0.0
20140111:0710,47956500.0,377.09,10.95,2.12,1.13,0.0
20140111:0810,76128000.0,601.14,18.72,4.34,0.67,0.0
20140111:0910,92133000.0,752.16,24.44,6.56,0.21,0.0
20140111:1010,99840000.0,827.17,27.52,7.89,0.33,0.0
20140111:1110,98106000.0,814.71,27.54,9.22,0.45,0.0
20140111:1210,82419000.0,675.52,24.51,10.55,0.57,0.0
20140111:1310,55105500.0,442.78,18.83,10.0,0.82,0.0
20140111:1410,33111000.0,272.43,11.08,9.45,1.08,0.0
20140111:1510,0.0,0.0,0.0,8.89,1.34,0.0
20140111:1610,0.0,0.0,0.0,8.33,1.24,0.0
20140111:1710,0.0,0.0,0.0,7.77,1.14,0.0
20140111:1810,0.0,0.0,0.0,7.22,1.05,0.0
20140111:1910,0.0,0.0,0.0,6.48,1.08,0.0
20140111:2010,0.0,0.0,0.0,5.74,1.1,0.0
20140111:2110,0.0,0.0,0.0,5.0,1.13,0.0
20140111:2210,0.0,0.0,0.0,4.96,1.19,0.0
20140111:2310,0.0,0.0,0.0,4.92,1.24,0.0
20140112:0010,0.0,0.0,0.0,4.87,1.3,0.0
20140112:0110,0.0,0.0,0.0,4.37,1.29,0.0
20140112:0210,0.0,0.0,0.0,3.87,1.28,0.0
20140112:0310,0.0,0.0,0.0,3.36,1.27,0.0
20140112:0410,0.0,0.0,0.0,3.32,1.3,0.0
20140112:0510,0.0,0.0,0.0,3.29,1.32,0.0
20140112:0610,0.0,0.0,0.0,3.25,1.35,0.0
20140112:0710,17736000.0,150.95,11.02,4.69,1.08,0.0
20140112:0810,37606500.0,299.87,18.82,6.13,0.81,0.0
20140112:0910,75163500.0,603.47,24.57,7.58,0.54,0.0
20140112:1010,102369000.0,843.45,27.67,8.34,0.8,0.0
20140112:1110,103272000.0,850.57,27.71,9.11,1.06,0.0
20140112:1210,94239000.0,767.71,24.69,9.87,1.32,0.0
20140112:1310,76882500.0,618.89,19.01,9.43,1.12,0.0
20140112:1410,45514500.0,369.88,11.26,8.99,0.91,0.0
20140112:1510,0.0,0.0,0.0,8.54,0.7,0.0
20140112:1610,0.0,0.0,0.0,7.95,0.88,0.0
20140112:1710,0.0,0.0,0.0,7.36,1.06,0.0
20140112:1810,0.0,0.0,0.0,6.77,1.24,0.0
20140112:1910,0.0,0.0,0.0,6.13,1.27,0.0
20140112:2010,0.0,0.0,0.0,5.5,1.3,0.0
20140112:2110,0.0,0.0,0.0,4.86,1.32,0.0
20140112:2210,0.0,0.0,0.0,4.21,1.44,0.0
20140112:2310,0.0,0.0,0.0,3.56,1.55,0.0
20140113:0010,0.0,0.0,0.0,2.91,1.67,0.0
20140113:0110,0.0,0.0,0.0,2.53,1.66,0.0
20140113:0210,0.0,0.0,0.0,2.14,1.64,0.0
20140113:0310,0.0,0.0,0.0,1.75,1.63,0.0
20140113:0410,0.0,0.0,0.0,1.37,1.7,0.0
20140113:0510,0.0,0.0,0.0,1.0,1.77,0.0
20140113:0610,0.0,0.0,0.0,0.62,1.85,0.0
20140113:0710,46593000.0,367.08,11.1,2.81,1.37,0.0
20140113:0810,78223500.0,618.48,18.92,5.01,0.9,0.0
20140113:0910,97395000.0,798.54,24.7,7.21,0.43,0.0
20140113:1010,88759500.0,725.82,27.82,8.23,0.43,0.0
20140113:1110,81054000.0,661.34,27.88,9.25,0.43,0.0
20140113:1210,66808500.0,541.72,24.88,10.26,0.43,0.0
20140113:1310,41745000.0,336.55,19.2,9.34,0.64,0.0
20140113:1410,20359500.0,173.32,11.45,8.41,0.86,0.0
20140113:1510,0.0,0.0,0.0,7.48,1.08,0.0
20140113:1610,0.0,0.0,0.0,6.48,0.96,0.0
20140113:1710,0.0,0.0,0.0,5.47,0.84,0.0
20140113:1810,0.0,0.0,0.0,4.47,0.72,0.0
20140113:1910,0.0,0.0,0.0,3.82,0.79,0.0
20140113:2010,0.0,0.0,0.0,3.17,0.86,0.0
20140113:2110,0.0,0.0,0.0,2.51,0.94,0.0
20140113:2210,0.0,0.0,0.0,2.3,0.87,0.0
20140113:2310,0.0,0.0,0.0,2.08,0.81,0.0
20140114:0010,0.0,0.0,0.0,1.86,0.74,0.0
20140114:0110,0.0,0.0,0.0,1.75,0.82,0.0
20140114:0210,0.0,0.0,0.0,1.64,0.9,0.0
20140114:0310,0.0,0.0,0.0,1.52,0.98,0.0
20140114:0410,0.0,0.0,0.0,1.39,0.87,0.0
20140114:0510,0.0,0.0,0.0,1.26,0.77,0.0
20140114:0610,0.0,0.0,0.0,1.13,0.66,0.0
20140114:0710,7194000.0,70.23,11.18,3.05,0.59,0.0
20140114:0810,46956000.0,368.54,19.03,4.97,0.51,1.0
