time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,-0.8,1.42,0.0
20140101:0110,0.0,0.0,0.0,-0.63,1.33,0.0
20140101:0210,0.0,0.0,0.0,-0.46,1.24,0.0
20140101:0310,0.0,0.0,0.0,-0.29,1.14,0.0
20140101:0410,0.0,0.0,0.0,-0.43,1.06,0.0
20140101:0510,0.0,0.0,0.0,-0.58,0.97,0.0
20140101:0610,0.0,0.0,0.0,-0.72,0.88,0.0
20140101:0710,11613600.0,69.69,10.38,-0.7,0.91,0.0
20140101:0810,24993600.0,132.14,17.92,-0.69,0.93,0.0
20140101:0910,29056800.0,150.56,23.39,-0.67,0.95,0.0
20140101:1010,37620000.0,189.45,26.23,-0.75,0.93,0.0
20140101:1110,26107200.0,137.17,26.08,-0.84,0.91,0.0
20140101:1210,17306400.0,96.49,22.95,-0.92,0.88,0.0
20140101:1310,11812800.0,70.59,17.24,-0.89,0.87,0.0
20140101:1410,5068800.0,37.11,9.52,-0.87,0.86,0.0
20140101:1510,0.0,0.0,0.0,-0.84,0.84,0.0
20140101:1610,0.0,0.0,0.0,-1.18,0.91,0.0
20140101:1710,0.0,0.0,0.0,-1.52,0.99,0.0
20140101:1810,0.0,0.0,0.0,-1.86,1.06,0.0
20140101:1910,0.0,0.0,0.0,-2.22,1.08,0.0
20140101:2010,0.0,0.0,0.0,-2.58,1.1,0.0
20140101:2110,0.0,0.0,0.0,-2.94,1.12,0.0
20140101:2210,0.0,0.0,0.0,-3.14,0.97,0.0
20140101:2310,0.0,0.0,0.0,-3.33,0.81,0.0
20140102:0010,0.0,0.0,0.0,-3.53,0.66,0.0
20140102:0110,0.0,0.0,0.0,-3.25,0.8,0.0
20140102:0210,0.0,0.0,0.0,-2.96,0.93,0.0
20140102:0310,0.0,0.0,0.0,-2.68,1.06,0.0
20140102:0410,0.0,0.0,0.0,-2.77,0.94,0.0
20140102:0510,0.0,0.0,0.0,-2.85,0.81,0.0
20140102:0610,0.0,0.0,0.0,-2.94,0.69,0.0
20140102:0710,10536000.0,64.26,10.39,-1.73,0.68,0.0
