time,P,G(i),H_sun,T2m,WS10m,Int
20140101:0010,0.0,0.0,0.0,2.85,1.14,0.0
20140101:0110,0.0,0.0,0.0,2.89,1.02,0.0
20140101:0210,0.0,0.0,0.0,2.93,0.9,0.0
20140101:0310,0.0,0.0,0.0,2.97,0.77,0.0
20140101:0410,0.0,0.0,0.0,2.82,0.77,0.0
20140101:0510,0.0,0.0,0.0,2.68,0.77,0.0
20140101:0610,0.0,0.0,0.0,2.54,0.77,0.0
20140101:0710,608640.0,26.49,10.54,2.99,0.8,0.0
20140101:0810,2057760.0,64.33,18.07,3.44,0.82,0.0
20140101:0910,7856160.0,200.59,23.52,3.89,0.84,0.0
20140101:1010,2476320.0,74.73,26.32,3.96,0.69,0.0
20140101:1110,10736640.0,267.98,26.13,4.02,0.54,0.0
20140101:1210,2126400.0,66.22,22.96,4.08,0.39,0.0
20140101:1310,3018720.0,87.98,17.21,4.2,0.42,0.0
20140101:1410,2072640.0,64.99,9.45,4.33,0.46,0.0
20140101:1510,0.0,0.0,0.0,4.45,0.5,0.0
20140101:1610,0.0,0.0,0.0,3.75,0.44,0.0
20140101:1710,0.0,0.0,0.0,3.05,0.38,0.0
20140101:1810,0.0,0.0,0.0,2.36,0.32,0.0
20140101:1910,0.0,0.0,0.0,1.93,0.24,0.0
20140101:2010,0.0,0.0,0.0,1.51,0.17,0.0
20140101:2110,0.0,0.0,0.0,1.09,0.1,0.0
20140101:2210,0.0,0.0,0.0,0.94,0.24,0.0
20140101:2310,0.0,0.0,0.0,0.8,0.38,0.0
20140102:0010,0.0,0.0,0.0,0.66,0.52,0.0
20140102:0110,0.0,0.0,0.0,1.11,0.41,0.0
20140102:0210,0.0,0.0,0.0,1.56,0.29,0.0
20140102:0310,0.0,0.0,0.0,2.01,0.18,0.0
20140102:0410,0.0,0.0,0.0,1.85,0.17,0.0
20140102:0510,0.0,0.0,0.0,1.7,0.17,0.0
20140102:0610,0.0,0.0,0.0,1.55,0.17,0.0
20140102:0710,2667360.0,79.05,10.55,2.83,0.34,0.0
20140102:0810,4172640.0,115.24,18.1,4.11,0.51,0.0
20140102:0910,4603200.0,126.13,23.57,5.39,0.69,0.0
20140102:1010,2836320.0,84.19,26.4,6.2,0.77,0.0
20140102:1110,5401440.0,145.93,26.22,7.01,0.85,0.0
20140102:1210,4967520.0,135.97,23.07,7.82,0.92,0.0
20140102:1310,4407360.0,122.38,17.33,7.8,1.01,0.0
20140102:1410,1865280.0,60.58,9.58,7.79,1.09,0.0
20140102:1510,0.0,0.0,0.0,7.77,1.17,0.0
20140102:1610,0.0,0.0,0.0,6.95,0.88,0.0
20140102:1710,0.0,0.0,0.0,6.14,0.58,0.0
20140102:1810,0.0,0.0,0.0,5.33,0.29,0.0
20140102:1910,0.0,0.0,0.0,4.67,0.36,0.0
20140102:2010,0.0,0.0,0.0,4.02,0.44,0.0
20140102:2110,0.0,0.0,0.0,3.37,0.51,0.0
20140102:2210,0.0,0.0,0.0,2.61,0.56,0.0
20140102:2310,0.0,0.0,0.0,1.86,0.6,0.0
20140103:0010,0.0,0.0,0.0,1.1,0.65,0.0
20140103:0110,0.0,0.0,0.0,0.38,0.63,0.0
20140103:0210,0.0,0.0,0.0,-0.34,0.61,0.0
20140103:0310,0.0,0.0,0.0,-1.05,0.59,0.0
20140103:0410,0.0,0.0,0.0,-1.41,0.65,0.0
20140103:0510,0.0,0.0,0.0,-1.76,0.7,0.0
20140103:0610,0.0,0.0,0.0,-2.11,0.76,0.0
20140103:0710,14948160.0,366.28,10.56,0.78,0.65,0.0
20140103:0810,24806880.0,611.74,18.13,3.67,0.55,0.0
20140103:0910,29760480.0,755.92,23.62,6.56,0.44,0.0
20140103:1010,32626080.0,840.85,26.48,7.74,0.57,0.0
20140103:1110,32997120.0,854.15,26.33,8.91,0.71,0.0
20140103:1210,28536960.0,729.8,23.19,10.08,0.84,0.0
20140103:1310,22749600.0,573.43,17.46,9.8,0.89,0.0
20140103:1410,9747840.0,253.0,9.72,9.52,0.93,0.0
20140103:1510,0.0,0.0,0.0,9.24,0.98,0.0
20140103:1610,0.0,0.0,0.0,8.15,0.97,0.0
20140103:1710,0.0,0.0,0.0,7.06,0.97,0.0
20140103:1810,0.0,0.0,0.0,5.97,0.97,0.0
20140103:1910,0.0,0.0,0.0,4.67,0.94,0.0
20140103:2010,0.0,0.0,0.0,3.38,0.92,0.0
20140103:2110,0.0,0.0,0.0,2.09,0.9,0.0
20140103:2210,0.0,0.0,0.0,1.47,0.94,0.0
20140103:2310,0.0,0.0,0.0,0.86,0.98,0.0
20140104:0010,0.0,0.0,0.0,0.24,1.02,0.0
20140104:0110,0.0,0.0,0.0,-0.55,1.01,0.0
