Sampling Interval(sec),001
Measuring date,2024/09/20 12:58:00

Strength,Odor Intensity
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0019,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0018,2,5
0017,2,5
0017,2,5
0016,2,5
0015,2,5
0015,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0011,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0012,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0013,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0014,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0015,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0017,2,5
0017,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0016,2,5
0014,2,5
0011,2,5
0010,2,5
0008,2,5
0008,2,5
0007,2,5
